Epoca: 190 | Loss: 0.6508 | Accuracy: 81.84%
Epoca: 191 | Loss: 0.6501 | Accuracy: 82.24%
Epoca: 192 | Loss: 0.6494 | Accuracy: 82.24%
Epoca: 193 | Loss: 0.6487 | Accuracy: 82.45%
Epoca: 194 | Loss: 0.6480 | Accuracy: 82.45%
Epoca: 195 | Loss: 0.6473 | Accuracy: 82.86%
Epoca: 196 | Loss: 0.6466 | Accuracy: 82.86%
Epoca: 197 | Loss: 0.6458 | Accuracy: 83.27%
Epoca: 198 | Loss: 0.6451 | Accuracy: 83.27%
Epoca: 199 | Loss: 0.6444 | Accuracy: 83.27%
Epoca: 200 | Loss: 0.6437 | Accuracy: 83.06%
Epoca: 201 | Loss: 0.6429 | Accuracy: 83.47%
Epoca: 202 | Loss: 0.6422 | Accuracy: 83.47%
Epoca: 203 | Loss: 0.6415 | Accuracy: 83.67%
Epoca: 204 | Loss: 0.6407 | Accuracy: 83.67%
Epoca: 205 | Loss: 0.6400 | Accuracy: 83.67%
Epoca: 206 | Loss: 0.6392 | Accuracy: 83.47%
Epoca: 207 | Loss: 0.6385 | Accuracy: 83.67%
Epoca: 208 | Loss: 0.6377 | Accuracy: 84.29%
Epoca: 209 | Loss: 0.6369 | Accuracy: 84.29%
Epoca: 210 | Loss: 0.6362 | Accuracy: 84.29%
Epoca: 211 | Loss: 0.6354 | Accuracy: 84.49%
Epoca: 212 | Loss: 0.6346 | Accuracy: 84.49%
Epoca: 213 | Loss: 0.6338 | Accuracy: 84.49%
Epoca: 214 | Loss: 0.6330 | Accuracy: 84.69%
Epoca: 215 | Loss: 0.6322 | Accuracy: 84.90%
Epoca: 216 | Loss: 0.6314 | Accuracy: 84.90%
Epoca: 217 | Loss: 0.6306 | Accuracy: 85.10%
Epoca: 218 | Loss: 0.6298 | Accuracy: 85.10%
Epoca: 219 | Loss: 0.6290 | Accuracy: 85.10%
Epoca: 220 | Loss: 0.6282 | Accuracy: 85.10%
Epoca: 221 | Loss: 0.6274 | Accuracy: 85.10%
Epoca: 222 | Loss: 0.6265 | Accuracy: 84.90%
Epoca: 223 | Loss: 0.6257 | Accuracy: 85.10%
Epoca: 224 | Loss: 0.6249 | Accuracy: 85.10%
Epoca: 225 | Loss: 0.6240 | Accuracy: 85.10%
Epoca: 226 | Loss: 0.6232 | Accuracy: 85.10%
Epoca: 227 | Loss: 0.6223 | Accuracy: 85.10%
Epoca: 228 | Loss: 0.6215 | Accuracy: 85.10%
Epoca: 229 | Loss: 0.6206 | Accuracy: 85.10%
Epoca: 230 | Loss: 0.6197 | Accuracy: 85.31%
Epoca: 231 | Loss: 0.6188 | Accuracy: 85.31%
Epoca: 232 | Loss: 0.6180 | Accuracy: 85.51%
